country,country_code,region,income,year,gdp_growth,inflation,life_expectancy,poverty
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2022,3.55029945613975,10.4674244465991,74.463,
Niger,NER,Sub-Saharan Africa,Low income,2022,11.9000000000277,4.22621791916392,60.398,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2022,4.31882949523192,18.8471877843274,54.079,13.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2022,2.75888415332967,14.2047173195833,74.4248780487805,
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2022,16.6427546628408,,78.531,
Norway,NOR,Europe & Central Asia,High income,2022,3.24622860260932,5.76412317852272,82.509756097561,0.2
Oman,OMN,Middle East & North Africa,High income,2022,7.98570728354278,2.5061425061425,77.911,
Pakistan,PAK,Middle East & North Africa,Lower middle income,2022,4.7781068690358,19.8738599646655,67.417,
Palau,PLW,East Asia & Pacific,High income,2022,1.51267904038146,12.3526638378124,68.922,
Panama,PAN,Latin America & Caribbean,High income,2022,11.0385475261766,2.85965128834711,79.324,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2022,5.70758404238197,5.25323922215241,65.274,
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2022,0.176038366149214,9.76556667164402,72.319,0.9
Peru,PER,Latin America & Caribbean,Upper middle income,2022,2.8090335533015,8.33370630096231,76.834,1.4
Philippines,PHL,East Asia & Pacific,Lower middle income,2022,7.58098212785563,5.82115811213955,69.472,
Poland,POL,Europe & Central Asia,High income,2022,5.25545697386036,14.4294507575758,77.1560975609756,0.2
Portugal,PRT,Europe & Central Asia,High income,2022,6.98584137580278,7.83269124233323,81.6317073170732,0.1
Puerto Rico (US),PRI,Latin America & Caribbean,High income,2022,2.95709565499587,,79.427,
Qatar,QAT,Middle East & North Africa,High income,2022,4.18497018544697,4.99527553740761,81.857,
Romania,ROU,Europe & Central Asia,High income,2022,4.18771305104109,13.7954887432521,75.1536585365854,0.6
Russian Federation,RUS,Europe & Central Asia,High income,2022,-1.43588213859842,13.7436797398232,72.5456097560976,0.1
Rwanda,RWA,Sub-Saharan Africa,Low income,2022,8.16120720872912,17.6892095588153,67.528,
Samoa,WSM,East Asia & Pacific,Upper middle income,2022,2.26705055249026,10.9618822286844,71.55,
