Country Name,"Country Code","Series Name","Series Code","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Caribbean small states,"CSS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.13927035305795","5.52453270215233","5.30536169644503","2.25887956702186","2.00580631724619","2.88961584372151","2.08657385169121","2.43629715479674","2.1952625003759","2.09072882416176","2.30881560835479","2.60262402317311","2.10733447564151","2.19518237141616","2.35433222144196","3.6046180511121","3.4963141902432","3.94652952677362","7.21385213950187","0.213901348378942","3.31018474700138","3.32776554447465","2.50461059084482","1.08324168178149","1.14542060958206","-0.852705497033039","0.402621696824957","1.6992957045984","1.20715793367008","1.00054293027237","0.121434644614894","2.22891330700344","5.82838638517959","4.47720868651285","2.56921890367726",".."
Caribbean small states,"CSS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","67.0451505140017","67.2193770605245","67.353289397098","67.4755646816358","67.5216611384859","67.5555715464801","67.6264024288204","67.7365433173653","67.9849230739004","68.2095641265771","68.3976758324657","68.6619722928042","68.8997139018751","69.0876488979237","69.3609701933726","69.6320513314341","69.9344232165599","70.2937333399205","70.5499974705246","70.797737511813","71.0114366987074","71.266093287793","71.4019143290264","71.5692506084296","71.7739411761824","71.8641021665476","72.0516361154512","72.1731041595093","72.2210854022703","72.1292604830284","71.9394359303317","69.9228107471769","72.8322921090607","73.1716450013098","..",".."
Caribbean small states,"CSS","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
Central Europe and the Baltics,"CEB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","..","-10.8722470728009","-4.93535392308848","0.208906815707977","3.6884822604716","5.71152456572696","4.48605490533376","2.2353277343923","2.63367812579986","1.90116646153298","3.94604998247554","3.00541163057468","3.54243996924046","3.99687092421381","5.87404889000118","4.90983938008229","6.64053519444492","6.33886223547218","3.96228066394433","-3.62226734473313","1.5384784947519","3.60060363619606","0.837956413944042","0.667866777557364","3.26201255415126","4.00166179134685","2.80726176295552","5.1071317914476","4.95337799401428","4.03229063844108","-3.30111999071748","6.57225386036488","4.04227221314891","0.70736329484285","2.0701601704917",".."
Central Europe and the Baltics,"CEB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","..","118.527578905984","150.615831956876","72.8787913866333","35.9247053929642","27.951388563304","19.7949669196707","8.88104848465892","8.20833333333298","4.01913875598086","8.91174418658769","5.74827981651373","3.12714222984608","2.34864169582755","3.59297594249509","3.31717824448045","3.93032603841001","4.83732928313989","6.35866380152373","2.75320223914816","1.80117022137134","4.13027562645085","3.33492267693442","1.4382978723404","0.0538213132399802","-0.464499004644911","-0.054999541670474","2.0759355367385","2.53445424186598","2.66456133425431","1.67244096855756","3.83984491500146","14.6081439492433","9.44284140088564","2.75760909424272",".."
Central Europe and the Baltics,"CEB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.6563313372586","70.5752213034774","70.7328371314157","70.8459866151448","70.8695439447473","71.0254214282891","71.3360580189951","71.5172580696822","71.8982376759956","72.1845610740875","72.7197247227791","73.0961481937343","73.2424154880921","73.3822527825258","73.7304349327381","73.8449951359211","74.0926027308097","74.2506487210768","74.5759526780779","74.9303639266576","75.2939657786314","75.8884748834282","76.0033944660035","76.3747350098375","76.6887696437325","76.5755119772504","76.9703062304413","76.929788715597","76.9764380835075","77.2659141936307","76.0162701269145","74.7232827859077","76.6522987292583","77.8966245256412","..",".."
Central Europe and the Baltics,"CEB","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
Early-demographic dividend,"EAR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","5.08724414030326","4.41371859499465","4.13478962931224","3.52115794343888","3.35242887561706","2.52841199258211","5.70696746674018","4.97060838391241","2.39170403989293","2.22374938414885","4.36773102019379","1.2002164554104","1.73460455798586","4.97750125527557","6.36558361842114","5.9717681179724","6.14128391149524","5.76681812549049","3.48673124260084","0.64699504158898","6.38102086180527","4.95235981152094","4.23032506652108","4.03077677401183","3.98571115342467","4.24282022448064","4.13628805469052","4.4871113513677","3.60797948282917","2.26986665615696","-4.30295004163716","7.50999857340686","6.02119005770159","4.59507205032629","3.66894359356225",".."
Early-demographic dividend,"EAR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","11.9060546010382","15.050130775937","10.5274440119592","9.97366476029209","9.59324963960296","10.0221733553239","8.51995195925336","7.01828599869913","6.42073242971301","5.02344345094613","3.89952980284712","3.7508205747202","4.24026660688645","5.45293224327203","4.43526108410782","4.8217005071285","5.68713772607966","6.17781214809388","10.4469875128223","4.37376765455939","4.3974138315007","5.81149223300288","5.01827254237431","4.82778705505169","4.07392957476225","3.12900274473925","3.52317317628473","3.32817337461298","3.97561015740694","2.76252019386111","2.96354992076065","4.12676744440695","7.19861615609867","5.88585897042164","3.29589662451998",".."
Early-demographic dividend,"EAR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","60.6383261325043","60.9285000051494","61.3966854252467","61.7375698841275","61.9773008421088","62.4045286349908","62.7427843008096","63.0987415789804","63.4369665976201","63.7793798044262","64.2196098284934","64.55670545203","64.9680746751559","65.2791550496845","65.5132392756465","65.9797864104925","66.3919300050345","66.7605467353128","67.0218187568003","67.496408245139","67.8244434669729","68.2600380693651","68.6094630284121","68.962837783411","69.3249758824304","69.6305484421664","69.9484837084835","70.2729949393554","70.5486659921503","70.8424064605001","69.8801308490982","68.1790994839633","71.4304552508694","71.7962449795855","..",".."
